# hypstar_220261_radcal_L_200903_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-03																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220261_nonlin_corr_coefs_200903.dat																		
# wavelength	none																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
1	873.3	3.05954e-03	1.59	0.613	0.0485	0.0348	0.100	0.305	0.100	0.100	0.0370	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.0371
2	876.9	1.41005e-03	1.59	0.613	0.0485	0.0347	0.100	0.305	0.100	0.100	0.0284	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.0182
3	880.6	8.56021e-04	1.59	0.613	0.0485	0.0345	0.100	0.305	0.100	0.100	0.0193	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.0114
4	884.2	6.57788e-04	1.59	0.613	0.0485	0.0344	0.100	0.305	0.100	0.100	0.0102	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00812
5	887.8	5.86336e-04	1.59	0.613	0.0485	0.0342	0.100	0.305	0.100	0.100	0.000794	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00803
6	891.4	5.55151e-04	1.59	0.613	0.0485	0.0341	0.100	0.305	0.100	0.100	0.00882	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00751
7	895	5.33821e-04	1.59	0.613	0.0485	0.0340	0.100	0.305	0.100	0.100	0.0186	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00648
8	898.6	5.14236e-04	1.62	0.613	0.0485	0.0338	0.100	0.305	0.100	0.100	0.151	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00687
9	902.2	4.92305e-04	3.66	1.76	0.0485	0.0337	0.100	0.305	0.100	0.100	0.135	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00735
10	905.8	4.72293e-04	3.65	1.76	0.0485	0.0336	0.100	0.305	0.100	0.100	0.00200	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00580
11	909.4	4.48075e-04	3.65	1.76	0.0485	0.0334	0.100	0.305	0.100	0.100	0.00299	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00606
12	913	4.17832e-04	3.65	1.76	0.0485	0.0333	0.100	0.305	0.100	0.100	0.00777	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00572
13	916.6	3.82608e-04	3.65	1.76	0.0485	0.0332	0.100	0.305	0.100	0.100	0.0122	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00583
14	920.2	3.47198e-04	3.65	1.76	0.0485	0.0330	0.100	0.305	0.100	0.100	0.0160	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00485
15	923.8	3.19108e-04	3.65	1.76	0.0485	0.0329	0.100	0.305	0.100	0.100	0.0187	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00455
16	927.4	3.00587e-04	3.65	1.76	0.0485	0.0328	0.100	0.305	0.100	0.100	0.0203	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00458
17	931	2.88707e-04	3.65	1.76	0.0485	0.0327	0.100	0.305	0.100	0.100	0.0208	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00461
18	934.6	2.80226e-04	3.65	1.76	0.0485	0.0325	0.100	0.305	0.100	0.100	0.0203	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00434
19	938.1	2.74224e-04	3.65	1.76	0.0485	0.0324	0.100	0.305	0.100	0.100	0.0189	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00447
20	941.7	2.69282e-04	3.65	1.76	0.0485	0.0323	0.100	0.305	0.100	0.100	0.0179	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00424
21	945.3	2.65028e-04	3.65	1.76	0.0485	0.0322	0.100	0.305	0.100	0.100	0.0184	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00430
22	948.8	2.6053e-04	3.65	1.76	0.0485	0.0320	0.100	0.305	0.100	0.100	0.0206	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00414
23	952.4	2.55778e-04	3.65	1.76	0.0485	0.0319	0.100	0.305	0.100	0.100	0.0245	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00399
