# hypstar_221211_radcal_E_211004_swir.dat
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2021-10-04
#
# Applied corrections:
# nonlinearity	hypstar_221211_nonlin_corr_coefs_210715.dat
# wavelength	hypstar_221211_wl_coefs_210714.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	880.02	2.80079e-02	1.68	0.613	0.102	0.0345	0.100	0	0	0	0.000989	0.100	0	0.440	0.100	0.300	0.0400	0	0.0113
1	883.65	2.48988e-02	1.68	0.613	0.102	0.0344	0.100	0	0	0	0.000650	0.100	0	0.440	0.100	0.300	0.0400	0	0.0105
2	887.27	2.36982e-02	1.68	0.613	0.102	0.0343	0.100	0	0	0	0.000309	0.100	0	0.440	0.100	0.300	0.0400	0	0.00918
3	890.89	2.26921e-02	1.68	0.613	0.102	0.0341	0.100	0	0	0	0.0000359	0.100	0	0.440	0.100	0.300	0.0400	0	0.00881
4	894.51	2.16834e-02	1.68	0.613	0.102	0.0340	0.100	0	0	0	0.000384	0.100	0	0.440	0.100	0.300	0.0400	0	0.00876
5	898.12	2.08114e-02	1.68	0.613	0.102	0.0338	0.100	0	0	0	0.000734	0.100	0	0.440	0.100	0.300	0.0400	0	0.00812
6	901.73	1.98769e-02	3.69	1.76	0.102	0.0337	0.100	0	0	0	0.000681	0.100	0	0.440	0.100	0.300	0.0400	0	0.00824
7	905.34	1.90457e-02	3.69	1.76	0.102	0.0336	0.100	0	0	0	0.000504	0.100	0	0.440	0.100	0.300	0.0400	0	0.00757
8	908.95	1.82413e-02	3.69	1.76	0.102	0.0334	0.100	0	0	0	0.000330	0.100	0	0.440	0.100	0.300	0.0400	0	0.00746
9	912.55	1.73109e-02	3.69	1.76	0.102	0.0333	0.100	0	0	0	0.000159	0.100	0	0.440	0.100	0.300	0.0400	0	0.00677
10	916.15	1.59796e-02	3.69	1.76	0.102	0.0332	0.100	0	0	0	0.00000888	0.100	0	0.440	0.100	0.300	0.0400	0	0.00702
11	919.75	1.43114e-02	3.69	1.76	0.102	0.0331	0.100	0	0	0	0.000174	0.100	0	0.440	0.100	0.300	0.0400	0	0.00705
12	923.34	1.27711e-02	3.69	1.76	0.102	0.0329	0.100	0	0	0	0.000337	0.100	0	0.440	0.100	0.300	0.0400	0	0.00540
13	926.93	1.16538e-02	3.69	1.76	0.102	0.0328	0.100	0	0	0	0.000497	0.100	0	0.440	0.100	0.300	0.0400	0	0.00571
14	930.52	1.09227e-02	3.69	1.76	0.102	0.0327	0.100	0	0	0	0.000655	0.100	0	0.440	0.100	0.300	0.0400	0	0.00476
15	934.11	1.04533e-02	3.69	1.76	0.102	0.0325	0.100	0	0	0	0.000810	0.100	0	0.440	0.100	0.300	0.0400	0	0.00486
16	937.69	1.01559e-02	3.69	1.76	0.102	0.0324	0.100	0	0	0	0.000962	0.100	0	0.440	0.100	0.300	0.0400	0	0.00478
17	941.27	9.93379e-03	3.69	1.76	0.102	0.0323	0.100	0	0	0	0.00111	0.100	0	0.440	0.100	0.300	0.0400	0	0.00471
18	944.85	9.73427e-03	3.69	1.76	0.102	0.0322	0.100	0	0	0	0.00126	0.100	0	0.440	0.100	0.300	0.0400	0	0.00438
19	948.43	9.57373e-03	3.69	1.76	0.102	0.0321	0.100	0	0	0	0.00140	0.100	0	0.440	0.100	0.300	0.0400	0	0.00432
20	952.00	9.44566e-03	3.69	1.76	0.102	0.0319	0.100	0	0	0	0.00155	0.100	0	0.440	0.100	0.300	0.0400	0	0.00413
21	955.57	9.34403e-03	3.69	1.76	0.102	0.0318	0.100	0	0	0	0.00169	0.100	0	0.440	0.100	0.300	0.0400	0	0.00435
22	959.14	9.18477e-03	3.69	1.76	0.102	0.0317	0.100	0	0	0	0.00182	0.100	0	0.440	0.100	0.300	0.0400	0	0.00395
23	962.70	9.01392e-03	3.69	1.76	0.102	0.0316	0.100	0	0	0	0.00196	0.100	0	0.440	0.100	0.300	0.0400	0	0.00426
24	966.26	8.86588e-03	3.69	1.76	0.102	0.0315	0.100	0	0	0	0.00209	0.100	0	0.440	0.100	0.300	0.0400	0	0.00411
25	969.82	8.72865e-03	3.69	1.76	0.102	0.0313	0.100	0	0	0	0.00223	0.100	0	0.440	0.100	0.300	0.0400	0	0.00393
26	973.37	8.56154e-03	3.69	1.76	0.102	0.0312	0.100	0	0	0	0.00235	0.100	0	0.440	0.100	0.300	0.0400	0	0.00374
27	976.93	8.3821e-03	3.69	1.76	0.102	0.0311	0.100	0	0	0	0.00248	0.100	0	0.440	0.100	0.300	0.0400	0	0.00403
28	980.47	8.20801e-03	3.69	1.76	0.102	0.0310	0.100	0	0	0	0.00261	0.100	0	0.440	0.100	0.300	0.0400	0	0.00353
29	984.02	8.0671e-03	3.69	1.76	0.102	0.0309	0.100	0	0	0	0.00273	0.100	0	0.440	0.100	0.300	0.0400	0	0.00413
30	987.56	7.94223e-03	3.69	1.76	0.102	0.0308	0.100	0	0	0	0.00285	0.100	0	0.440	0.100	0.300	0.0400	0	0.00384
31	991.10	7.80322e-03	3.69	1.76	0.102	0.0307	0.100	0	0	0	0.00297	0.100	0	0.440	0.100	0.300	0.0400	0	0.00384
32	994.64	7.64392e-03	3.69	1.76	0.102	0.0306	0.100	0	0	0	0.00309	0.100	0	0.440	0.100	0.300	0.0400	0	0.00352
33	998.18	7.50039e-03	3.69	1.76	0.102	0.0305	0.100	0	0	0	0.00320	0.100	0	0.440	0.100	0.300	0.0400	0	0.00385
34	1001.71	7.3881e-03	3.62	1.72	0.102	0.0303	0.100	0	0	0	0.00331	0.100	0	0.440	0.100	0.300	0.0400	0	0.00363
35	1005.23	7.3082e-03	3.48	1.65	0.102	0.0302	0.100	0	0	0	0.00342	0.100	0	0.440	0.100	0.300	0.0400	0	0.00349
36	1008.76	7.21351e-03	3.34	1.57	0.102	0.0301	0.100	0	0	0	0.00353	0.100	0	0.440	0.100	0.300	0.0400	0	0.00353
37	1012.28	7.10035e-03	3.29	1.54	0.102	0.0300	0.100	0	0	0	0.00364	0.100	0	0.440	0.100	0.300	0.0400	0	0.00366
38	1015.80	6.99328e-03	3.29	1.54	0.102	0.0299	0.100	0	0	0	0.00375	0.100	0	0.440	0.100	0.300	0.0400	0	0.00318
39	1019.32	6.91011e-03	3.29	1.54	0.102	0.0298	0.100	0	0	0	0.00385	0.100	0	0.440	0.100	0.300	0.0400	0	0.00324
40	1022.83	6.84859e-03	3.29	1.54	0.102	0.0297	0.100	0	0	0	0.00395	0.100	0	0.440	0.100	0.300	0.0400	0	0.00321
41	1026.34	6.79703e-03	3.29	1.54	0.102	0.0296	0.100	0	0	0	0.00405	0.100	0	0.440	0.100	0.300	0.0400	0	0.00309
42	1029.84	6.73214e-03	3.29	1.54	0.102	0.0295	0.100	0	0	0	0.00415	0.100	0	0.440	0.100	0.300	0.0400	0	0.00337
43	1033.35	6.65743e-03	3.29	1.54	0.102	0.0294	0.100	0	0	0	0.00425	0.100	0	0.440	0.100	0.300	0.0400	0	0.00338
44	1036.85	6.58405e-03	3.29	1.54	0.102	0.0293	0.100	0	0	0	0.00435	0.100	0	0.440	0.100	0.300	0.0400	0	0.00331
45	1040.34	6.55163e-03	3.29	1.54	0.102	0.0292	0.100	0	0	0	0.00444	0.100	0	0.440	0.100	0.300	0.0400	0	0.00337
46	1043.84	6.5311e-03	3.29	1.54	0.102	0.0291	0.100	0	0	0	0.00453	0.100	0	0.440	0.100	0.300	0.0400	0	0.00338
47	1047.33	6.51897e-03	3.29	1.54	0.102	0.0290	0.100	0	0	0	0.00462	0.100	0	0.440	0.100	0.300	0.0400	0	0.00336
48	1050.81	6.50269e-03	3.29	1.54	0.102	0.0289	0.100	0	0	0	0.00471	0.100	0	0.440	0.100	0.300	0.0400	0	0.00313
49	1054.30	6.47074e-03	3.29	1.54	0.102	0.0288	0.100	0	0	0	0.00480	0.100	0	0.440	0.100	0.300	0.0400	0	0.00352
50	1057.78	6.43969e-03	3.29	1.54	0.102	0.0287	0.100	0	0	0	0.00489	0.100	0	0.440	0.100	0.300	0.0400	0	0.00284
51	1061.26	6.43818e-03	3.29	1.54	0.102	0.0286	0.100	0	0	0	0.00497	0.100	0	0.440	0.100	0.300	0.0400	0	0.00340
52	1064.73	6.44158e-03	3.29	1.54	0.102	0.0286	0.100	0	0	0	0.00506	0.100	0	0.440	0.100	0.300	0.0400	0	0.00331
53	1068.20	6.44811e-03	3.29	1.54	0.102	0.0285	0.100	0	0	0	0.00514	0.100	0	0.440	0.100	0.300	0.0400	0	0.00338
54	1071.67	6.44472e-03	3.29	1.54	0.102	0.0284	0.100	0	0	0	0.00522	0.100	0	0.440	0.100	0.300	0.0400	0	0.00305
55	1075.13	6.43104e-03	3.29	1.54	0.102	0.0283	0.100	0	0	0	0.00530	0.100	0	0.440	0.100	0.300	0.0400	0	0.00337
56	1078.59	6.41332e-03	3.29	1.54	0.102	0.0282	0.100	0	0	0	0.00538	0.100	0	0.440	0.100	0.300	0.0400	0	0.00316
57	1082.05	6.40385e-03	3.29	1.54	0.102	0.0281	0.100	0	0	0	0.00546	0.100	0	0.440	0.100	0.300	0.0400	0	0.00328
58	1085.50	6.40752e-03	3.29	1.54	0.102	0.0280	0.100	0	0	0	0.00553	0.100	0	0.440	0.100	0.300	0.0400	0	0.00338
59	1088.95	6.41929e-03	3.29	1.54	0.102	0.0279	0.100	0	0	0	0.00561	0.100	0	0.440	0.100	0.300	0.0400	0	0.00365
60	1092.40	6.41538e-03	3.25	1.52	0.102	0.0278	0.100	0	0	0	0.00568	0.100	0	0.440	0.100	0.300	0.0400	0	0.00346
61	1095.85	6.39606e-03	3.20	1.49	0.102	0.0277	0.100	0	0	0	0.00575	0.100	0	0.440	0.100	0.300	0.0400	0	0.00358
62	1099.29	6.36445e-03	3.14	1.46	0.102	0.0277	0.100	0	0	0	0.00582	0.100	0	0.440	0.100	0.300	0.0400	0	0.00334
63	1102.72	6.33885e-03	3.13	1.46	0.102	0.0276	0.100	0	0	0	0.00589	0.100	0	0.440	0.100	0.300	0.0400	0	0.00341
64	1106.16	6.32131e-03	3.13	1.46	0.102	0.0275	0.100	0	0	0	0.00596	0.100	0	0.440	0.100	0.300	0.0400	0	0.00322
65	1109.59	6.3006e-03	3.13	1.46	0.102	0.0274	0.100	0	0	0	0.00603	0.100	0	0.440	0.100	0.300	0.0400	0	0.00313
66	1113.01	6.26896e-03	3.13	1.46	0.102	0.0273	0.100	0	0	0	0.00609	0.100	0	0.440	0.100	0.300	0.0400	0	0.00318
67	1116.44	6.21653e-03	3.13	1.46	0.102	0.0272	0.100	0	0	0	0.00616	0.100	0	0.440	0.100	0.300	0.0400	0	0.00335
68	1119.86	6.14455e-03	3.13	1.46	0.102	0.0271	0.100	0	0	0	0.00622	0.100	0	0.440	0.100	0.300	0.0400	0	0.00311
69	1123.27	6.0594e-03	3.13	1.46	0.102	0.0271	0.100	0	0	0	0.00629	0.100	0	0.440	0.100	0.300	0.0400	0	0.00343
70	1126.69	5.97526e-03	3.13	1.46	0.102	0.0270	0.100	0	0	0	0.00635	0.100	0	0.440	0.100	0.300	0.0400	0	0.00317
71	1130.10	5.90004e-03	3.13	1.46	0.102	0.0269	0.100	0	0	0	0.00641	0.100	0	0.440	0.100	0.300	0.0400	0	0.00307
72	1133.50	5.83379e-03	3.13	1.46	0.102	0.0268	0.100	0	0	0	0.00647	0.100	0	0.440	0.100	0.300	0.0400	0	0.00326
73	1136.91	5.77505e-03	3.13	1.46	0.102	0.0267	0.100	0	0	0	0.00653	0.100	0	0.440	0.100	0.300	0.0400	0	0.00331
74	1140.30	5.72278e-03	3.13	1.45	0.102	0.0267	0.100	0	0	0	0.00659	0.100	0	0.440	0.100	0.300	0.0400	0	0.00329
75	1143.70	5.66279e-03	3.12	1.45	0.102	0.0266	0.100	0	0	0	0.00664	0.100	0	0.440	0.100	0.300	0.0400	0	0.00318
76	1147.09	5.60548e-03	3.11	1.45	0.102	0.0265	0.100	0	0	0	0.00670	0.100	0	0.440	0.100	0.300	0.0400	0	0.00297
77	1150.48	5.56364e-03	3.11	1.44	0.102	0.0264	0.100	0	0	0	0.00676	0.100	0	0.440	0.100	0.300	0.0400	0	0.00261
78	1153.86	5.53189e-03	3.11	1.44	0.102	0.0263	0.100	0	0	0	0.00681	0.100	0	0.440	0.100	0.300	0.0400	0	0.00310
79	1157.24	5.51524e-03	3.11	1.44	0.102	0.0263	0.100	0	0	0	0.00686	0.100	0	0.440	0.100	0.300	0.0400	0	0.00319
80	1160.62	5.50638e-03	3.11	1.44	0.102	0.0262	0.100	0	0	0	0.00692	0.100	0	0.440	0.100	0.300	0.0400	0	0.00333
81	1164.00	5.50435e-03	3.11	1.44	0.102	0.0261	0.100	0	0	0	0.00697	0.100	0	0.440	0.100	0.300	0.0400	0	0.00307
82	1167.37	5.50119e-03	3.11	1.44	0.102	0.0260	0.100	0	0	0	0.00702	0.100	0	0.440	0.100	0.300	0.0400	0	0.00291
83	1170.73	5.48943e-03	3.11	1.44	0.102	0.0260	0.100	0	0	0	0.00707	0.100	0	0.440	0.100	0.300	0.0400	0	0.00287
84	1174.10	5.48076e-03	3.11	1.44	0.102	0.0259	0.100	0	0	0	0.00712	0.100	0	0.440	0.100	0.300	0.0400	0	0.00339
