# hypstar_221232_nonlin_corr_coefs_210715.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.25
# u_SWIR	0.12
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
0.999447270842679	0.999965617905968
3.84801996366821e-07	1.42404403515002e-05
-6.09173947311552e-11	-5.71487649879681e-09
4.17337160033202e-15	1.23702898643091e-12
-1.5706937017249e-19	-1.56536540689477e-16
2.59029389652487e-24	1.24198686153365e-20
-1.59528668662942e-29	-6.46609290533978e-25
0	2.26452205458873e-29
0	-5.36784567525307e-34
0	8.49021047527938e-39
0	-8.57892324035552e-44
0	5.00687653104547e-49
0	-1.28366148276154e-54
