 Table of rho values created with FFT surfaces and polarized ray tracing as described in
   Mobley, C.D., 2015.  Polarized Reflectance and Transmittance Properties of Wind-blown Sea Surfaces,
   Applied Optics (in review)
 NOTE: This is a preliminary table for use during review of the above paper.
   These rho values are for fully developed seas, sun's direct rays parallel to the wind direction,
   a Rayleigh, single-scattering sky at 550 nm, and wind speeds of 0, 2, 4, 5, 6, 8, 10, 12, 14, and 15 m/s.
   The final table will be placed online once the above paper has been accepted for publication.
 rho is computed from the I components of the Stokes radiance vectors: rho = I(surface reflected)/I(sky) [nondimensional]
 Theta_v is the polar viewing angle measured from 0 at the nadir.
 Phi_v is the azimuthal viewing angle measured from the sun at phi_v = 0
 Looping order is
    wind speed
       sun zenith angle
          theta_v
             phi_v
 Data blocks of 118 theta_v, phi_v, rho(theta_v, phi_v) records on an (f7.1,f9.1,e15.4) format are separated by 
   records giving the wind speed and sun zenith angle on an (12x,f5.1,20x,f5.1) format.
-------------------------------
 Theta_v    Phi_v       rho
-------------------------------
WIND SPEED =  0.0; SUN ZENITH ANGLE =  0.0
   30.0     75.0    1.7593e-002
   30.0     90.0    1.6108e-002
   30.0    105.0    1.6398e-002
   30.0    120.0    1.9011e-002
   30.0    135.0    2.2699e-002
   30.0    150.0    2.6036e-002
   30.0    165.0    2.8140e-002
   30.0    180.0    2.8438e-002
   40.0      0.0    5.5786e-002
   40.0     15.0    4.9328e-002
   40.0     30.0    3.8315e-002
   40.0     45.0    2.7794e-002
   40.0     60.0    2.0036e-002
   40.0     75.0    1.4460e-002
   40.0     90.0    1.1151e-002
   40.0    105.0    1.2375e-002
   40.0    120.0    1.7848e-002
   40.0    135.0    2.4982e-002
   40.0    150.0    3.1376e-002
   40.0    165.0    3.5212e-002
   40.0    180.0    3.5960e-002
   50.0      0.0    1.1176e-001
   50.0     15.0    9.1999e-002
   50.0     30.0    6.2492e-002
   50.0     45.0    4.0188e-002
   50.0     60.0    2.4978e-002
   50.0     75.0    1.4661e-002
   50.0     90.0    9.1410e-003
   50.0    105.0    1.1844e-002
   50.0    120.0    2.2369e-002
   50.0    135.0    3.4710e-002
   50.0    150.0    4.5119e-002
   50.0    165.0    5.1746e-002
   50.0    180.0    5.3436e-002
   60.0      0.0    1.9201e-001
   60.0     15.0    1.5574e-001
   60.0     30.0    1.0959e-001
   60.0     45.0    7.4095e-002
   60.0     60.0    4.9254e-002
   60.0     75.0    3.1992e-002
   60.0     90.0    2.2737e-002
   60.0    105.0    2.8434e-002
   60.0    120.0    4.6339e-002
   60.0    135.0    6.5333e-002
   60.0    150.0    8.0466e-002
   60.0    165.0    8.9615e-002
   60.0    180.0    9.3537e-002
   70.0      0.0    2.1581e-001
   70.0     15.0    1.9930e-001
   70.0     30.0    1.7178e-001
   70.0     45.0    1.4190e-001
   70.0     60.0    1.1567e-001
   70.0     75.0    9.4146e-002
   70.0     90.0    7.9422e-002
   70.0    105.0    8.8379e-002
   70.0    120.0    1.1341e-001
   70.0    135.0    1.3402e-001
   70.0    150.0    1.4912e-001
   70.0    165.0    1.5697e-001
   70.0    180.0    1.6403e-001
   80.0      0.0    1.3970e-001
   80.0     15.0    1.8090e-001
   80.0     30.0    2.0132e-001
   80.0     45.0    2.0467e-001
   80.0     60.0    1.9706e-001
   80.0     75.0    1.8742e-001
   80.0     90.0    1.7343e-001
   80.0    105.0    1.7906e-001
   80.0    120.0    1.9720e-001
   80.0    135.0    2.0622e-001
   80.0    150.0    2.0942e-001
   80.0    165.0    2.0961e-001
   80.0    180.0    2.1558e-001
   87.5      0.0    3.6343e-001
   87.5     15.0    1.5821e-001
   87.5     30.0    1.8943e-001
   87.5     45.0    2.1132e-001
   87.5     60.0    2.1800e-001
   87.5     75.0    2.1980e-001
   87.5     90.0    2.1319e-001
   87.5    105.0    2.1430e-001
   87.5    120.0    2.1964e-001
   87.5    135.0    2.1707e-001
   87.5    150.0    2.0827e-001
   87.5    165.0    2.0899e-001
   87.5    180.0    2.0895e-001
WIND SPEED =  5.0; SUN ZENITH ANGLE =  0.0
    0.0      0.0    1.5304e-003
   10.0      0.0    1.6285e-001
   10.0     15.0    1.6338e-001
   10.0     30.0    1.5079e-001
   10.0     45.0    1.5500e-001
   10.0     60.0    1.4846e-001
   10.0     75.0    1.4474e-001
   10.0     90.0    1.4256e-001
   10.0    105.0    1.4568e-001
   10.0    120.0    1.4279e-001
   10.0    135.0    1.4821e-001
   10.0    150.0    1.5315e-001
   10.0    165.0    1.5732e-001
   10.0    180.0    1.5672e-001
   20.0      0.0    1.7056e-001
   20.0     15.0    1.7230e-001
   20.0     30.0    1.5981e-001
   20.0     45.0    1.4248e-001
   20.0     60.0    1.2971e-001
   20.0     75.0    1.2305e-001
   20.0     90.0    1.2105e-001
   20.0    105.0    1.1690e-001
   20.0    120.0    1.3153e-001
   20.0    135.0    1.4523e-001
   20.0    150.0    1.6546e-001
   20.0    165.0    1.7482e-001
   20.0    180.0    1.7779e-001
   30.0      0.0    1.1470e-001
   30.0     15.0    1.1066e-001
   30.0     30.0    9.5061e-002
   30.0     45.0    8.6009e-002
   30.0     60.0    6.7843e-002
   30.0     75.0    6.2874e-002
   30.0     90.0    6.4625e-002
   30.0    105.0    6.3665e-002
   30.0    120.0    7.3732e-002
   30.0    135.0    9.4589e-002
   30.0    150.0    1.0718e-001
   30.0    165.0    1.1768e-001
   30.0    180.0    1.2427e-001
   40.0      0.0    7.0538e-002
   40.0     15.0    6.3831e-002
   40.0     30.0    5.5091e-002
   40.0     45.0    4.5751e-002
   40.0     60.0    4.1009e-002
   40.0     75.0    3.8702e-002
   40.0     90.0    4.0779e-002
   40.0    105.0    4.1572e-002
   40.0    120.0    4.4764e-002
   40.0    135.0    5.0371e-002
   40.0    150.0    5.6964e-002
   40.0    165.0    6.5468e-002
   40.0    180.0    7.3024e-002
   50.0      0.0    6.6623e-002
   50.0     15.0    6.5745e-002
   50.0     30.0    6.3531e-002
   50.0     45.0    6.0227e-002
   50.0     60.0    5.9097e-002
   50.0     75.0    5.7819e-002
   50.0     90.0    5.7773e-002
   50.0    105.0    5.7595e-002
   50.0    120.0    5.8959e-002
   50.0    135.0    6.1831e-002
   50.0    150.0    6.3972e-002
   50.0    165.0    6.6041e-002
   50.0    180.0    7.1164e-002
   60.0      0.0    1.2093e-001
   60.0     15.0    1.1790e-001
   60.0     30.0    1.1705e-001
   60.0     45.0    1.1638e-001
   60.0     60.0    1.1488e-001
   60.0     75.0    1.1418e-001
   60.0     90.0    1.1131e-001
   60.0    105.0    1.1192e-001
   60.0    120.0    1.1483e-001
   60.0    135.0    1.1639e-001
   60.0    150.0    1.1705e-001
   60.0    165.0    1.1773e-001
   60.0    180.0    1.2058e-001
   70.0      0.0    2.1436e-001
   70.0     15.0    2.0930e-001
   70.0     30.0    2.1268e-001
   70.0     45.0    2.1705e-001
   70.0     60.0    2.2121e-001
   70.0     75.0    2.2360e-001
   70.0     90.0    2.1407e-001
   70.0    105.0    2.1492e-001
   70.0    120.0    2.2118e-001
   70.0    135.0    2.1705e-001
   70.0    150.0    2.1268e-001
   70.0    165.0    2.0930e-001
   70.0    180.0    2.1436e-001
   80.0      0.0    2.7541e-001
   80.0     15.0    2.7002e-001
   80.0     30.0    2.7820e-001
   80.0     45.0    2.9173e-001
   80.0     60.0    3.0709e-001
   80.0     75.0    3.2041e-001
   80.0     90.0    3.0957e-001
   80.0    105.0    3.0782e-001
   80.0    120.0    3.0709e-001
   80.0    135.0    2.9173e-001
   80.0    150.0    2.7820e-001
   80.0    165.0    2.7002e-001
   80.0    180.0    2.7541e-001
   87.5      0.0    2.5166e-001
   87.5     15.0    2.5142e-001
   87.5     30.0    2.6547e-001
   87.5     45.0    2.8527e-001
   87.5     60.0    2.9487e-001
   87.5     75.0    3.1489e-001
   87.5     90.0    3.1106e-001
   87.5    105.0    3.0775e-001
   87.5    120.0    2.9487e-001
   87.5    135.0    2.8527e-001
   87.5    150.0    2.6547e-001
   87.5    165.0    2.5142e-001
   87.5    180.0    2.5166e-001
WIND SPEED =  5.0; SUN ZENITH ANGLE = 10.0
    0.0      0.0    1.6216e-001
   10.0      0.0    5.4481e-004
   10.0     15.0    1.0294e-001
   10.0     30.0    1.1933e-001
   10.0     45.0    1.3305e-001
   10.0     60.0    1.4597e-001
   10.0     75.0    1.4864e-001
   10.0     90.0    1.6338e-001
   10.0    105.0    1.5808e-001
   10.0    120.0    1.6946e-001
   10.0    135.0    1.7835e-001
   10.0    150.0    1.7813e-001
   10.0    165.0    1.8476e-001
   10.0    180.0    1.9357e-001
   20.0      0.0    1.5925e-001
   20.0     15.0    1.5799e-001
   20.0     30.0    1.4468e-001
   20.0     45.0    1.3807e-001
   20.0     60.0    1.2282e-001
   20.0     75.0    1.0870e-001
   20.0     90.0    1.0041e-001
   20.0    105.0    1.0668e-001
   20.0    120.0    1.1029e-001
   20.0    135.0    1.1590e-001
   20.0    150.0    1.1771e-001
   20.0    165.0    1.1661e-001
   20.0    180.0    1.1967e-001
   30.0      0.0    1.8986e-001
   30.0     15.0    1.6380e-001
   30.0     30.0    1.2688e-001
   30.0     45.0    9.4228e-002
   30.0     60.0    7.2552e-002
   30.0     75.0    5.3256e-002
   30.0     90.0    4.9432e-002
   30.0    105.0    4.6695e-002
   30.0    120.0    5.3319e-002
   30.0    135.0    5.2183e-002
   30.0    150.0    5.3766e-002
   30.0    165.0    5.5993e-002
   30.0    180.0    6.1309e-002
   40.0      0.0    1.4522e-001
   40.0     15.0    1.1459e-001
   40.0     30.0    7.5724e-002
   40.0     45.0    4.9593e-002
   40.0     60.0    4.1741e-002
   40.0     75.0    3.7781e-002
   40.0     90.0    3.6895e-002
   40.0    105.0    3.7406e-002
   40.0    120.0    4.0088e-002
   40.0    135.0    4.1649e-002
   40.0    150.0    4.2338e-002
   40.0    165.0    4.5149e-002
   40.0    180.0    4.8225e-002
   50.0      0.0    9.8055e-002
   50.0     15.0    7.6966e-002
   50.0     30.0    6.3713e-002
   50.0     45.0    5.5935e-002
   50.0     60.0    5.4365e-002
   50.0     75.0    5.4634e-002
   50.0     90.0    5.4784e-002
   50.0    105.0    5.6702e-002
   50.0    120.0    6.1407e-002
   50.0    135.0    6.4670e-002
   50.0    150.0    6.8085e-002
   50.0    165.0    7.0347e-002
   50.0    180.0    7.0874e-002
   60.0      0.0    1.1295e-001
   60.0     15.0    1.0854e-001
   60.0     30.0    1.0499e-001
   60.0     45.0    1.0540e-001
   60.0     60.0    1.0599e-001
   60.0     75.0    1.0795e-001
   60.0     90.0    1.0675e-001
   60.0    105.0    1.1105e-001
   60.0    120.0    1.1998e-001
   60.0    135.0    1.2564e-001
   60.0    150.0    1.2949e-001
   60.0    165.0    1.3213e-001
   60.0    180.0    1.3525e-001
   70.0      0.0    1.9750e-001
   70.0     15.0    1.9278e-001
   70.0     30.0    1.9606e-001
   70.0     45.0    2.0142e-001
   70.0     60.0    2.0788e-001
   70.0     75.0    2.1395e-001
   70.0     90.0    2.0740e-001
   70.0    105.0    2.1316e-001
   70.0    120.0    2.2711e-001
   70.0    135.0    2.2746e-001
   70.0    150.0    2.2631e-001
   70.0    165.0    2.2485e-001
   70.0    180.0    2.3013e-001
   80.0      0.0    2.6991e-001
   80.0     15.0    2.6400e-001
   80.0     30.0    2.7131e-001
   80.0     45.0    2.8403e-001
   80.0     60.0    2.9918e-001
   80.0     75.0    3.1297e-001
   80.0     90.0    3.0257e-001
   80.0    105.0    3.0256e-001
   80.0    120.0    3.0498e-001
   80.0    135.0    2.9036e-001
   80.0    150.0    2.7700e-001
   80.0    165.0    2.6878e-001
   80.0    180.0    2.7341e-001
   87.5      0.0    2.6480e-001
   87.5     15.0    2.6329e-001
   87.5     30.0    2.7559e-001
   87.5     45.0    2.9277e-001
   87.5     60.0    2.9868e-001
   87.5     75.0    3.1449e-001
   87.5     90.0    3.0566e-001
   87.5    105.0    2.9877e-001
   87.5    120.0    2.8341e-001
   87.5    135.0    2.7025e-001
   87.5    150.0    2.4823e-001
   87.5    165.0    2.3293e-001
   87.5    180.0    2.3184e-001
WIND SPEED =  5.0; SUN ZENITH ANGLE = 20.0
    0.0      0.0    1.7180e-001
   10.0      0.0    1.4794e-001
   10.0     15.0    1.4944e-001
   10.0     30.0    1.5614e-001
   10.0     45.0    1.5694e-001
   10.0     60.0    1.6435e-001
   10.0     75.0    1.5617e-001
   10.0     90.0    1.4478e-001
   10.0    105.0    1.3900e-001
   10.0    120.0    1.3453e-001
   10.0    135.0    1.2678e-001
   10.0    150.0    1.1271e-001
   10.0    165.0    1.2037e-001
   10.0    180.0    1.1558e-001
   20.0      0.0    1.1463e-003
   20.0     15.0    1.1265e-001
   20.0     30.0    1.3049e-001
   20.0     45.0    1.2683e-001
   20.0     60.0    1.0978e-001
   20.0     75.0    9.7115e-002
   20.0     90.0    7.7401e-002
   20.0    105.0    7.6462e-002
   20.0    120.0    7.2651e-002
   20.0    135.0    5.8960e-002
   20.0    150.0    5.6015e-002
   20.0    165.0    5.6138e-002
   20.0    180.0    5.5175e-002
   30.0      0.0    1.6108e-001
   30.0     15.0    1.5131e-001
   30.0     30.0    1.2458e-001
   30.0     45.0    9.3291e-002
   30.0     60.0    6.0989e-002
   30.0     75.0    4.3475e-002
   30.0     90.0    4.0248e-002
   30.0    105.0    3.6938e-002
   30.0    120.0    3.5735e-002
   30.0    135.0    3.3718e-002
   30.0    150.0    3.4271e-002
   30.0    165.0    3.6485e-002
   30.0    180.0    3.6780e-002
   40.0      0.0    1.9705e-001
   40.0     15.0    1.5310e-001
   40.0     30.0    9.3015e-002
   40.0     45.0    5.4877e-002
   40.0     60.0    3.9839e-002
   40.0     75.0    3.5518e-002
   40.0     90.0    3.3530e-002
   40.0    105.0    3.5059e-002
   40.0    120.0    3.7626e-002
   40.0    135.0    4.0442e-002
   40.0    150.0    4.2990e-002
   40.0    165.0    4.4977e-002
   40.0    180.0    4.5207e-002
   50.0      0.0    1.6351e-001
   50.0     15.0    1.1326e-001
   50.0     30.0    6.7914e-002
   50.0     45.0    5.1142e-002
   50.0     60.0    5.0056e-002
   50.0     75.0    5.0584e-002
   50.0     90.0    5.0923e-002
   50.0    105.0    5.4140e-002
   50.0    120.0    6.1725e-002
   50.0    135.0    6.7634e-002
   50.0    150.0    7.3428e-002
   50.0    165.0    7.7267e-002
   50.0    180.0    7.7861e-002
   60.0      0.0    1.4122e-001
   60.0     15.0    1.1360e-001
   60.0     30.0    9.7157e-002
   60.0     45.0    9.5946e-002
   60.0     60.0    9.6763e-002
   60.0     75.0    9.9858e-002
   60.0     90.0    9.9322e-002
   60.0    105.0    1.0614e-001
   60.0    120.0    1.2017e-001
   60.0    135.0    1.2998e-001
   60.0    150.0    1.3741e-001
   60.0    165.0    1.4245e-001
   60.0    180.0    1.4604e-001
   70.0      0.0    1.9082e-001
   70.0     15.0    1.8171e-001
   70.0     30.0    1.8206e-001
   70.0     45.0    1.8636e-001
   70.0     60.0    1.9290e-001
   70.0     75.0    2.0032e-001
   70.0     90.0    1.9537e-001
   70.0    105.0    2.0437e-001
   70.0    120.0    2.2413e-001
   70.0    135.0    2.2854e-001
   70.0    150.0    2.3050e-001
   70.0    165.0    2.3098e-001
   70.0    180.0    2.3645e-001
   80.0      0.0    2.6640e-001
   80.0     15.0    2.5830e-001
   80.0     30.0    2.6220e-001
   80.0     45.0    2.7207e-001
   80.0     60.0    2.8552e-001
   80.0     75.0    2.9875e-001
   80.0     90.0    2.8868e-001
   80.0    105.0    2.8984e-001
   80.0    120.0    2.9447e-001
   80.0    135.0    2.8095e-001
   80.0    150.0    2.6829e-001
   80.0    165.0    2.6050e-001
   80.0    180.0    2.6457e-001
   87.5      0.0    2.7349e-001
   87.5     15.0    2.6944e-001
   87.5     30.0    2.7778e-001
   87.5     45.0    2.9089e-001
   87.5     60.0    2.9347e-001
   87.5     75.0    3.0613e-001
   87.5     90.0    2.9431e-001
   87.5    105.0    2.8532e-001
   87.5    120.0    2.6887e-001
   87.5    135.0    2.5408e-001
   87.5    150.0    2.3170e-001
   87.5    165.0    2.1644e-001
   87.5    180.0    2.1476e-001
WIND SPEED =  5.0; SUN ZENITH ANGLE = 30.0
    0.0      0.0    1.1108e-001
   10.0      0.0    1.6445e-001
   10.0     15.0    1.7432e-001
   10.0     30.0    1.6544e-001
   10.0     45.0    1.4754e-001
   10.0     60.0    1.3299e-001
   10.0     75.0    1.0803e-001
   10.0     90.0    8.4034e-002
   10.0    105.0    7.6103e-002
   10.0    120.0    6.1995e-002
   10.0    135.0    5.8820e-002
   10.0    150.0    5.9287e-002
   10.0    165.0    5.4276e-002
   10.0    180.0    4.7639e-002
   20.0      0.0    1.4752e-001
   20.0     15.0    1.4860e-001
   20.0     30.0    1.4040e-001
   20.0     45.0    1.1820e-001
   20.0     60.0    9.0497e-002
   20.0     75.0    7.0034e-002
   20.0     90.0    5.0801e-002
   20.0    105.0    4.3399e-002
   20.0    120.0    3.3832e-002
   20.0    135.0    3.1282e-002
   20.0    150.0    3.2547e-002
   20.0    165.0    3.1728e-002
   20.0    180.0    3.2220e-002
   30.0      0.0    1.8571e-003
   30.0     15.0    1.1848e-001
   30.0     30.0    1.1321e-001
   30.0     45.0    7.6739e-002
   30.0     60.0    4.7657e-002
   30.0     75.0    3.7645e-002
   30.0     90.0    3.0575e-002
   30.0    105.0    2.8401e-002
   30.0    120.0    2.8974e-002
   30.0    135.0    3.0570e-002
   30.0    150.0    3.2653e-002
   30.0    165.0    3.3239e-002
   30.0    180.0    3.3641e-002
   40.0      0.0    1.6420e-001
   40.0     15.0    1.4094e-001
   40.0     30.0    9.2802e-002
   40.0     45.0    5.0799e-002
   40.0     60.0    3.5049e-002
   40.0     75.0    3.1269e-002
   40.0     90.0    3.0429e-002
   40.0    105.0    3.2040e-002
   40.0    120.0    3.6362e-002
   40.0    135.0    4.1069e-002
   40.0    150.0    4.5230e-002
   40.0    165.0    4.8244e-002
   40.0    180.0    4.8444e-002
   50.0      0.0    2.2442e-001
   50.0     15.0    1.4769e-001
   50.0     30.0    7.0158e-002
   50.0     45.0    4.7964e-002
   50.0     60.0    4.5409e-002
   50.0     75.0    4.5432e-002
   50.0     90.0    4.5341e-002
   50.0    105.0    4.9381e-002
   50.0    120.0    5.9757e-002
   50.0    135.0    6.8620e-002
   50.0    150.0    7.7148e-002
   50.0    165.0    8.2814e-002
   50.0    180.0    8.3567e-002
   60.0      0.0    2.2147e-001
   60.0     15.0    1.3156e-001
   60.0     30.0    8.9779e-002
   60.0     45.0    8.5529e-002
   60.0     60.0    8.6626e-002
   60.0     75.0    8.9553e-002
   60.0     90.0    8.8523e-002
   60.0    105.0    9.6859e-002
   60.0    120.0    1.1523e-001
   60.0    135.0    1.2894e-001
   60.0    150.0    1.3975e-001
   60.0    165.0    1.4696e-001
   60.0    180.0    1.5088e-001
   70.0      0.0    2.2644e-001
   70.0     15.0    1.8216e-001
   70.0     30.0    1.6844e-001
   70.0     45.0    1.7042e-001
   70.0     60.0    1.7567e-001
   70.0     75.0    1.8252e-001
   70.0     90.0    1.7772e-001
   70.0    105.0    1.8855e-001
   70.0    120.0    2.1261e-001
   70.0    135.0    2.2061e-001
   70.0    150.0    2.2528e-001
   70.0    165.0    2.2741e-001
   70.0    180.0    2.3292e-001
   80.0      0.0    2.8046e-001
   80.0     15.0    2.5739e-001
   80.0     30.0    2.5303e-001
   80.0     45.0    2.5718e-001
   80.0     60.0    2.6708e-001
   80.0     75.0    2.7844e-001
   80.0     90.0    2.6827e-001
   80.0    105.0    2.7031e-001
   80.0    120.0    2.7701e-001
   80.0    135.0    2.6549e-001
   80.0    150.0    2.5447e-001
   80.0    165.0    2.4777e-001
   80.0    180.0    2.5162e-001
   87.5      0.0    2.9166e-001
   87.5     15.0    2.8045e-001
   87.5     30.0    2.7826e-001
   87.5     45.0    2.8317e-001
   87.5     60.0    2.8127e-001
   87.5     75.0    2.9101e-001
   87.5     90.0    2.7763e-001
   87.5    105.0    2.6801e-001
   87.5    120.0    2.5217e-001
   87.5    135.0    2.3785e-001
   87.5    150.0    2.1689e-001
   87.5    165.0    2.0275e-001
   87.5    180.0    2.0106e-001
WIND SPEED =  5.0; SUN ZENITH ANGLE = 40.0
    0.0      0.0    4.6067e-002
   10.0      0.0    1.2439e-001
   10.0     15.0    1.1577e-001
   10.0     30.0    1.0309e-001
   10.0     45.0    7.9530e-002
   10.0     60.0    6.4947e-002
   10.0     75.0    4.6742e-002
   10.0     90.0    4.3268e-002
   10.0    105.0    3.7991e-002
   10.0    120.0    3.4113e-002
   10.0    135.0    3.3862e-002
   10.0    150.0    3.0505e-002
   10.0    165.0    3.1700e-002
   10.0    180.0    3.0403e-002
   20.0      0.0    1.7033e-001
   20.0     15.0    1.6241e-001
   20.0     30.0    1.2489e-001
   20.0     45.0    8.8064e-002
   20.0     60.0    5.6420e-002
   20.0     75.0    3.9225e-002
   20.0     90.0    2.8825e-002
   20.0    105.0    2.6788e-002
   20.0    120.0    2.6649e-002
   20.0    135.0    2.6954e-002
   20.0    150.0    2.7834e-002
   20.0    165.0    2.8123e-002
   20.0    180.0    2.8043e-002
   30.0      0.0    1.4990e-001
   30.0     15.0    1.4372e-001
   30.0     30.0    1.0705e-001
   30.0     45.0    5.9891e-002
   30.0     60.0    3.8663e-002
   30.0     75.0    2.7787e-002
   30.0     90.0    2.4990e-002
   30.0    105.0    2.5286e-002
   30.0    120.0    2.7390e-002
   30.0    135.0    2.9928e-002
   30.0    150.0    3.2714e-002
   30.0    165.0    3.4254e-002
   30.0    180.0    3.4665e-002
   40.0      0.0    2.9780e-003
   40.0     15.0    1.2107e-001
   40.0     30.0    7.9496e-002
   40.0     45.0    4.1860e-002
   40.0     60.0    3.0889e-002
   40.0     75.0    2.7966e-002
   40.0     90.0    2.6516e-002
   40.0    105.0    2.8577e-002
   40.0    120.0    3.4195e-002
   40.0    135.0    4.0651e-002
   40.0    150.0    4.6444e-002
   40.0    165.0    5.0484e-002
   40.0    180.0    5.0697e-002
   50.0      0.0    1.9028e-001
   50.0     15.0    1.4030e-001
   50.0     30.0    6.8504e-002
   50.0     45.0    4.3474e-002
   50.0     60.0    4.0659e-002
   50.0     75.0    3.9717e-002
   50.0     90.0    3.8238e-002
   50.0    105.0    4.2490e-002
   50.0    120.0    5.4990e-002
   50.0    135.0    6.6345e-002
   50.0    150.0    7.7058e-002
   50.0    165.0    8.4078e-002
   50.0    180.0    8.4935e-002
   60.0      0.0    3.0517e-001
   60.0     15.0    1.6021e-001
   60.0     30.0    8.1253e-002
   60.0     45.0    7.6830e-002
   60.0     60.0    7.6892e-002
   60.0     75.0    7.7936e-002
   60.0     90.0    7.5072e-002
   60.0    105.0    8.3643e-002
   60.0    120.0    1.0477e-001
   60.0    135.0    1.2128e-001
   60.0    150.0    1.3440e-001
   60.0    165.0    1.4295e-001
   60.0    180.0    1.4698e-001
   70.0      0.0    3.5862e-001
   70.0     15.0    1.9253e-001
   70.0     30.0    1.5553e-001
   70.0     45.0    1.5533e-001
   70.0     60.0    1.5837e-001
   70.0     75.0    1.6254e-001
   70.0     90.0    1.5617e-001
   70.0    105.0    1.6722e-001
   70.0    120.0    1.9374e-001
   70.0    135.0    2.0480e-001
   70.0    150.0    2.1183e-001
   70.0    165.0    2.1537e-001
   70.0    180.0    2.2092e-001
   80.0      0.0    3.7174e-001
   80.0     15.0    2.7153e-001
   80.0     30.0    2.4508e-001
   80.0     45.0    2.4146e-001
   80.0     60.0    2.4667e-001
   80.0     75.0    2.5483e-001
   80.0     90.0    2.4393e-001
   80.0    105.0    2.4667e-001
   80.0    120.0    2.5568e-001
   80.0    135.0    2.4744e-001
   80.0    150.0    2.3912e-001
   80.0    165.0    2.3413e-001
   80.0    180.0    2.3815e-001
   87.5      0.0    3.9327e-001
   87.5     15.0    3.0991e-001
   87.5     30.0    2.8044e-001
   87.5     45.0    2.7194e-001
   87.5     60.0    2.6445e-001
   87.5     75.0    2.7151e-001
   87.5     90.0    2.5797e-001
   87.5    105.0    2.4942e-001
   87.5    120.0    2.3610e-001
   87.5    135.0    2.2428e-001
   87.5    150.0    2.0599e-001
   87.5    165.0    1.9357e-001
   87.5    180.0    1.9227e-001
WIND SPEED =  5.0; SUN ZENITH ANGLE = 50.0
    0.0      0.0    2.2281e-002
   10.0      0.0    5.9126e-002
   10.0     15.0    5.6075e-002
   10.0     30.0    4.7753e-002
   10.0     45.0    4.3455e-002
   10.0     60.0    3.3524e-002
   10.0     75.0    2.9203e-002
   10.0     90.0    2.6987e-002
   10.0    105.0    2.7051e-002
   10.0    120.0    2.5795e-002
   10.0    135.0    2.5745e-002
   10.0    150.0    2.5810e-002
   10.0    165.0    2.6028e-002
   10.0    180.0    2.5796e-002
   20.0      0.0    1.2352e-001
   20.0     15.0    1.0581e-001
   20.0     30.0    7.4757e-002
   20.0     45.0    4.4491e-002
   20.0     60.0    3.4129e-002
   20.0     75.0    2.6764e-002
   20.0     90.0    2.4741e-002
   20.0    105.0    2.4362e-002
   20.0    120.0    2.4784e-002
   20.0    135.0    2.5775e-002
   20.0    150.0    2.7074e-002
   20.0    165.0    2.7596e-002
   20.0    180.0    2.7837e-002
   30.0      0.0    1.8226e-001
   30.0     15.0    1.5096e-001
   30.0     30.0    8.7497e-002
   30.0     45.0    4.3999e-002
   30.0     60.0    2.8196e-002
   30.0     75.0    2.4221e-002
   30.0     90.0    2.2506e-002
   30.0    105.0    2.2835e-002
   30.0    120.0    2.5725e-002
   30.0    135.0    2.9168e-002
   30.0    150.0    3.2779e-002
   30.0    165.0    3.4773e-002
   30.0    180.0    3.5201e-002
   40.0      0.0    1.6920e-001
   40.0     15.0    1.4165e-001
   40.0     30.0    6.8969e-002
   40.0     45.0    3.7395e-002
   40.0     60.0    2.7508e-002
   40.0     75.0    2.4746e-002
   40.0     90.0    2.2322e-002
   40.0    105.0    2.4276e-002
   40.0    120.0    3.0859e-002
   40.0    135.0    3.8628e-002
   40.0    150.0    4.5573e-002
   40.0    165.0    5.0261e-002
   40.0    180.0    5.0484e-002
   50.0      0.0    5.3970e-003
   50.0     15.0    1.2928e-001
   50.0     30.0    5.9418e-002
   50.0     45.0    4.0485e-002
   50.0     60.0    3.6687e-002
   50.0     75.0    3.3459e-002
   50.0     90.0    3.0071e-002
   50.0    105.0    3.4019e-002
   50.0    120.0    4.7669e-002
   50.0    135.0    6.0636e-002
   50.0    150.0    7.2564e-002
   50.0    165.0    8.0207e-002
   50.0    180.0    8.1130e-002
   60.0      0.0    2.6955e-001
   60.0     15.0    1.5351e-001
   60.0     30.0    7.6173e-002
   60.0     45.0    7.1071e-002
   60.0     60.0    6.8374e-002
   60.0     75.0    6.5775e-002
   60.0     90.0    6.0114e-002
   60.0    105.0    6.7958e-002
   60.0    120.0    9.0275e-002
   60.0    135.0    1.0862e-001
   60.0    150.0    1.2314e-001
   60.0    165.0    1.3239e-001
   60.0    180.0    1.3644e-001
   70.0      0.0    5.0475e-001
   70.0     15.0    2.1333e-001
   70.0     30.0    1.4250e-001
   70.0     45.0    1.4302e-001
   70.0     60.0    1.4277e-001
   70.0     75.0    1.4225e-001
   70.0     90.0    1.3299e-001
   70.0    105.0    1.4324e-001
   70.0    120.0    1.7097e-001
   70.0    135.0    1.8503e-001
   70.0    150.0    1.9443e-001
   70.0    165.0    1.9938e-001
   70.0    180.0    2.0511e-001
   80.0      0.0    6.6819e-001
   80.0     15.0    2.9793e-001
   80.0     30.0    2.3525e-001
   80.0     45.0    2.2610e-001
   80.0     60.0    2.2677e-001
   80.0     75.0    2.3081e-001
   80.0     90.0    2.1861e-001
   80.0    105.0    2.2207e-001
   80.0    120.0    2.3382e-001
   80.0    135.0    2.2989e-001
   80.0    150.0    2.2489e-001
   80.0    165.0    2.2187e-001
