# hypstar_221231_nonlin_corr_coefs_210715.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.78
# u_SWIR	0.06
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
0.998501581866036	0.999996578679975
1.17588390511181e-06	3.56816169560769e-06
-2.12876141014378e-10	-1.24720974824288e-09
1.54614498897621e-14	2.74483259556224e-13
-5.45610953318838e-19	-3.50241843806394e-17
8.79859964591178e-24	2.75716862470457e-21
-5.32546473519718e-29	-1.41119677363863e-25
0	4.84028147591339e-30
0	-1.12253691311521e-34
0	1.73732334464746e-39
0	-1.71848980012612e-44
0	9.82198437768928e-50
0	-2.46654353069748e-55
