# hypstar_220251_nonlin_corr_coefs_200903.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.48
# u_SWIR	0.15
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
0.999708662774676	0.999992953733817
1.92432548022039e-07	5.55226597392788e-06
-3.14218399128081e-11	-1.83327219988814e-09
2.62449647261424e-15	3.86414704314863e-13
-1.1626933202351e-19	-4.90166767096995e-17
2.07542155368218e-24	3.89111859767832e-21
-1.3423830732143e-29	-2.01294586399287e-25
0	6.96610206701139e-30
0	-1.62616562534436e-34
0	2.5288108392395e-39
0	-2.51113704347367e-44
0	1.44079567581211e-49
0	-3.63476709238928e-55
