# hypstar_220261_nonlin_corr_coefs_200903.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.35
# u_SWIR	0.09
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
0.99994521694118	0.99999838864137
-1.67707482263194e-08	1.03162468604531e-06
8.89758215118419e-12	-2.25992853931882e-10
-1.8382281499823e-16	8.37701242907223e-14
-2.26825881651494e-20	-1.43647295083824e-17
6.01300978082312e-25	1.30833764682422e-21
-4.67331583093702e-30	-7.14367066005951e-26
0	2.4915900010098e-30
0	-5.69901126704278e-35
0	8.520574900318e-40
0	-8.02240950782828e-45
0	4.31649337757913e-50
0	-1.01167975611511e-55
