# hypstar_221211_nonlin_corr_coefs_210715.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.41
# u_SWIR	0.08
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
0.999670601236014	0.99999618379259
2.26362812466293e-07	2.28121428475805e-06
-3.42567894609971e-11	-8.16202481376888e-10
2.22125790134801e-15	2.19311421477343e-13
-8.85608486074899e-20	-3.25579399607854e-17
1.48605382172625e-24	2.87993393721738e-21
-9.31070370906603e-30	-1.62415444118654e-25
0	6.06053061590369e-30
0	-1.51452454028241e-34
0	2.50600061583349e-39
0	-2.6326545586871e-44
0	1.58908665659507e-49
0	-4.1943320797354e-55
