# hypstar_221461_nonlin_corr_coefs_220105.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.57
# u_SWIR	0.23
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
0.999723177783848	0.999993462298279
2.21532372597662e-07	-2.93497071586434e-07
-4.01574439646587e-11	-9.49789764273953e-10
3.01372083501449e-15	3.98314137589566e-13
-1.28563193530205e-19	-6.82367325641236e-17
2.30975613849168e-24	6.51761038115744e-21
-1.53387989867168e-29	-3.87915084807727e-25
0	1.51156348901259e-29
0	-3.92166977236383e-34
0	6.71346710816301e-39
0	-7.28145349250171e-44
0	4.53217926775817e-49
0	-1.23283401266231e-54
